"","HS.Code_6","BEC4","BEC.Descriptions","Retained.Goods"
"1","10121","41","Capital Goods (Except Transport Equipment): Capital goods (except transport equipment)","Capital Goods"
"3","10130","41","Capital Goods (Except Transport Equipment): Capital goods (except transport equipment)","Capital Goods"
"9","10129","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"11","10130","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"13","10190","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"21","10221","41","Capital Goods (Except Transport Equipment): Capital goods (except transport equipment)","Capital Goods"
"22","10231","41","Capital Goods (Except Transport Equipment): Capital goods (except transport equipment)","Capital Goods"
"23","10290","41","Capital Goods (Except Transport Equipment): Capital goods (except transport equipment)","Capital Goods"
"24","10229","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"25","10239","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"26","10290","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"27","10310","41","Capital Goods (Except Transport Equipment): Capital goods (except transport equipment)","Capital Goods"
"28","10391","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"29","10392","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"30","10410","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"31","10420","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"32","10511","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"33","10512","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"34","10513","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"35","10514","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"36","10515","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"37","10594","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"39","10599","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"40","10611","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"42","10612","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"46","10613","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"48","10614","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"50","10619","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"52","10620","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"54","10631","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"56","10632","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"58","10633","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"60","10639","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"62","10641","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"64","10649","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"66","10690","111","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"68","20110","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"69","20120","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"70","20130","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
