"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","85072010","Deep cycle accumulators of a kind used in solar electric systems.","SOLAR BATTERY",51716001,"Other products","Other products ","Other Imports"
"IMPORT","84151090","Other","AIR CONDITIONERS",33292547,"Other products","Other products ","Other Imports"
"IMPORT","94069000","Other","PREFAB",28459321,"Other products","Other products ","Other Imports"
"IMPORT","84198900","Other","AEROREFROIDISSEUR",27391304,"Other products","Other products ","Other Imports"
"IMPORT","27149000","Other","BITUMEN",22056894,"Other products","Fuel","Other Imports"
"IMPORT","32099000","Other","PAINTS",18699380,"Other products","Other products ","Other Imports"
"IMPORT","87019100","Not exceeding 18 kW","CONTAINER CARGO TRUCK 4413",16164942,"Other products","Other products ","Other Imports"
"IMPORT","84158100","Incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle","AIR COOLED PACKAGE UNITS",14033251,"Other products","Other products ","Other Imports"
"IMPORT","04072100","Of fowls of the species Gallus domesticus","EGG",12120195,"Other products","Other products ","Other Imports"
"IMPORT","84842000","Mechanical seals","SEAL",10561648,"Other products","Other products ","Other Imports"
"IMPORT","30024100","Vaccines for human medicine","VACCINES",10522824,"Other products","Other products ","Other Imports"
"IMPORT","85044000","Static converters","QUATTRO 48/10000/140-100/100 230V",9317823,"Other products","Other products ","Other Imports"
"IMPORT","91011100","With mechanical display only","MECHANICAL WATCH",8553662,"Other products","Other products ","Other Imports"
"IMPORT","90318000","Other instruments, appliances machines","OTHER INSZT SAMPLER",8537685,"Other products","Other products ","Other Imports"
"IMPORT","18063200","Not filled","CHOCOLATE",8170398,"Other products","Other products ","Other Imports"
"IMPORT","15171000","Margarine, excluding liquid margarine","MARGARINE",7437394,"Other products","Other products ","Other Imports"
"IMPORT","52085900","Other fabrics","PRINTED FABRIC",7046423,"Other products","Other products ","Other Imports"
"IMPORT","21039000","Other","SAUCES",6931516,"Other products","Other products ","Other Imports"
"IMPORT","15119000","Other","COOKING OIL",6551006,"Other products","Other products ","Other Imports"
"IMPORT","42029900","Other","BAGS & CASES",6491986,"Other products","Other products ","Other Imports"
"IMPORT","04062000","Grated or powdered cheese, of all kinds","GRATED CHEESE",6399131,"Other products","Other products ","Other Imports"
"IMPORT","38089100","Insecticides","MOSQUITO REPELLENT",6319289,"Other products","Other products ","Other Imports"
"IMPORT","85076010","Lithium-ion","AC50B PORTABLE POWER STATION",6168266,"Other products","Other products","Other Imports"
"IMPORT","15111000","Crude oil","FIELDER COOKING OIL",6105695,"Other products","Other products ","Other Imports"
"IMPORT","48192000","Folding cartons, boxes and cases, of non-corrugated paper or paperboard","EMPTY CARTON WATER",6020374,"Other products","Other products ","Other Imports"
"IMPORT","02069000","Other, frozen","OTHER FROZEN PORK",5953900,"Other products","Other products ","Other Imports"
"IMPORT","48022000","Paper and paperboard as a base for photo-sensitive... or paperboard","COPY PAPER",5914746,"Other products","Other products ","Other Imports"
"IMPORT","04063000","Processed cheese, not grated or powdered","CHEESE",5574315,"Other products","Other products ","Other Imports"
"IMPORT","84159000","Parts","DUCTING FOR AIR CONDITION  (MCALPINE)",5541143,"Other products","Other products ","Other Imports"
"IMPORT","16010000","Sausages and similar products, of meat, meat offal or blood; food preparations based on","CHICKEN FRANKS",5438196,"Other products","Other products ","Other Imports"
"IMPORT","85287200","Other, colour","TV DEA7523280 // 40S5400A",5432466,"Other products","Other products ","Other Imports"
