"","HS.Code","HS.Code_6","CE.CD","CO","SITC_1","HS.Code_2","Office","Reg.Ref","Reg..Date","Type","CP4","CP3","Declarant","Con_cod","Con...Exp.name","Shipper...Buyer.name","Itm..","SITC","PRF","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","Wgt..Gross","Wgt..Net","Pkg..","Pkg..type","Supp.Qty","Supp","TOD","Stat..Value","IMD","VAT","IEX","DEX","EXD","OED","RawDataRowID","HS.Code_4","SITC_3","Year","Month","Day","Mode.of.Transport","HS.Section","SITC.description","IMPORT.CTY.CD","CTY_Origin","IMPORT.COUNTRY","IMPORT.REGION","IMPORT.REG.","IMPORT.PARTNER.COUNTRIES","CTY_Dest","EXPORT.CTY.CD","EXPORT.COUNTRY","EXPORT.REGION","EXPORT.REG.","EXPORT.PARTNER.COUNTRIES","TAR_ALL","TAR_DSC","Principle.Exports","Principle.ReExports","Principle.Imports","Classifications.Combined","Unit.Qty","Import.Duty.Rate","BEC4","Description","CommodityType","Unhealthy.Focus.Food.Category","Food.sub.category","Product"
"14","02032200",20322,"AU","AU",0,2,"VSEA","2021 / C / 7604",2021-12-02,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP INTERNATIONAL PTY ",3,12.22,NA,"Hams, shoulders and cuts thereof, with bone in","PORK MEAT","1,425.00","1,389.25","72","Cartons","1,389.25","KGM","CIF",801347,"240,405.00","156,265.00","0",0,0,0,8261,203,12,2021,"December",2,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in","Other products","Other products ","Other Imports","Other products ","KGM","30",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"15","02032900",20329,"NZ","NZ",0,2,"VSEA","2021 / C / 7872",2021-12-17,"IM / 4",4000,0,166070,"430223","DYNAMIC SUPPLY ","DSC
",8,12.22,NA,"Other","BACON","3,076.00","600","0","Enclosure; ","3,076.00","KGM","FOB",763238,"228,970.00","148,830.00","0",0,0,0,10692,203,12,2021,"December",17,"SEA","I.Live animals: animal products","Food & Live Animals","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","30",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"16","02032900",20329,"AU","AU",0,2,"SSEA","2021 / C / 1817",2021-12-03,"IM / 4",4000,0,266664,"129635","DAMING STORE
","NATURALLY AUSTRALIAN ",4,12.22,NA,"Other","FROZEN PORK","439.83","365.54","23","Cartons","365.54","KGM","CIF",224163,"67,250.00","43,710.00","0",0,0,0,262,203,12,2021,"December",3,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","30",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"55","02071490",20714,"FJ","FJ",0,2,"VSEA","2021 / C / 7681",2021-12-06,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","GOODMAN FIELDER INT'L ",6,12.35,"MSG","Other","CHICKEN MINCE & PATTIES 500G-600G","216.9","216.9","17","Cartons","216.9","KGM","FOB",71305,"0","10,695.00","0",0,0,0,8888,207,12,2021,"December",6,"SEA","I.Live animals: animal products","Food & Live Animals","FJ","FJ","FIJI","OCEANIA",5,"FIJI","FJ","FJ","FIJI","OCEANIA",5,"FIJI","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"56","02071490",20714,"AU","AU",0,2,"VSEA","2021 / C / 8094",2021-12-21,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","ROGERS & ANDERSONS ",1,12.35,NA,"Other","DRUMSTICKS 2KGX8","13,737.00","13,737.00","1,099","Cartons","3,543.79","KGM","CIF",3016386,"603,275.00","542,950.00","0",0,0,0,12173,207,12,2021,"December",21,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"57","02071490",20714,"FJ","FJ",0,2,"VSEA","2021 / C / 7681",2021-12-06,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","GOODMAN FIELDER INT'L ",9,12.35,"MSG","Other","CHICKEN MINCE & PATTIES 500G-600G","216.45","21.9","17","Cartons","21.9","KGM","FOB",71305,"0","10,695.00","0",0,0,0,8891,207,12,2021,"December",6,"SEA","I.Live animals: animal products","Food & Live Animals","FJ","FJ","FIJI","OCEANIA",5,"FIJI","FJ","FJ","FIJI","OCEANIA",5,"FIJI","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"58","02071490",20714,"AU","AU",0,2,"SSEA","2021 / C / 1817",2021-12-03,"IM / 4",4000,0,266664,"129635","DAMING STORE
","NATURALLY AUSTRALIAN ",1,12.35,NA,"Other","FROZEN  CHICKEN PIECES","7,210.64","5,376.00","568","Cartons","5,376.00","KGM","CIF",1844207,"368,840.00","331,955.00","0",0,0,0,259,207,12,2021,"December",3,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"59","02071490",20714,"AU","AU",0,2,"VSEA","2021 / C / 7715",2021-12-07,"IM / 4",4000,0,445964,"416641","RANIA INVESTMENTS
","SURE GOODS FOODS LTD
",1,12.35,NA,"Other","FROZEN CHICKEN PIECES","14,688.00","14,688.00","816","Various, ie. ","14,688.00","KGM","CIF",3062742,"612,550.00","551,295.00","0",0,0,0,9337,207,12,2021,"December",7,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"60","02071490",20714,"AU","AU",0,2,"VSEA","2021 / C / 8520",2021-12-30,"IM / 4",4000,0,445964,"416641","RANIA INVESTMENTS
","PACIFIC ISLANDS ",1,12.35,NA,"Other","DRUM STICK","15,595.80","15,012.00","834","Various, ie. ","15,012.00","KGM","CIF",3058064,"611,615.00","550,450.00","0",0,0,0,15636,207,12,2021,"December",30,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"61","02071490",20714,"AU","AU",0,2,"VSEA","2021 / C / 7604",2021-12-02,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP INTERNATIONAL PTY ",1,12.35,NA,"Other","CHICKEN MIXED","9,142.00","8,858.00","568","Cartons","8,858.00","KGM","CIF",2164580,"432,915.00","389,625.00","0",0,0,0,8258,207,12,2021,"December",2,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM","20",122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
