"HS.Code","HS.Code_6","CE.CD","CO","SITC_1","HS.Code_2","Office","Reg.Ref","Reg..Date","Type","CP4","CP3","Declarant","Con_cod","Con...Exp.name","Shipper...Buyer.name","Itm..","SITC","PRF","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","Wgt..Gross","Wgt..Net","Pkg..","Pkg..type","Supp.Qty","Supp","TOD","Stat..Value","IMD","VAT","IEX","DEX","EXD","OED","ITEM.INSURANCE","FREIGHT","RawDataRowID","HS.Code_4","SITC_3","Year","Month","Day","Mode.of.Transport","HS.Section","SITC.description","IMPORT.CTY.CD","CTY_Origin","IMPORT.COUNTRY","IMPORT.REGION","IMPORT.REG.","IMPORT.PARTNER.COUNTRIES","CTY_Dest","EXPORT.CTY.CD","EXPORT.COUNTRY","EXPORT.REGION","EXPORT.REG.","EXPORT.PARTNER.COUNTRIES","TAR_ALL","TAR_DSC","Principle.Exports","Principle.ReExports","Principle.Imports","Classifications.Combined","Unit.Qty","Import.Duty.Rate","X","X.1","BEC4","Description","CommodityType","Unhealthy.Focus.Food.Category","Food.sub.category","Product"
"02031200",20312,"AU","AU",0,2,"VSEA","2024 / C / 9380",NA,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP ITERNATIONAL PTY ",7,12.21,NA,"Hams, shoulders and cuts thereof, with bone in","PORK USA RIDS","457.5","440.5","34","Cartons","440.5","KGM","CFR",442163,"132,650.00","86,220.00","0",0,"0",0,0,0,1362,203,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in","Other products","Other products ","Other Imports","Other products ","KGM",30,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02031200",20312,"AU","AU",0,2,"VSEA","2024 / C / 9380",NA,"IM / 4",4000,0,437811,"437811","CHUAN STORE
","ANTAP ITERNATIONAL PTY ",5,12.21,NA,"Hams, shoulders and cuts thereof, with bone in","PORK SHOULDER","886.4","870.4","32","Cartons","870.4","KGM","CFR",617724,"185,315.00","120,455.00","0",0,"0",0,0,0,1162,203,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in","Other products","Other products ","Other Imports","Other products ","KGM",30,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02032200",20322,"AU","AU",0,2,"SSEA","2024 / C / 2276",NA,"IM / 4",4000,0,266664,"129635","DAMING STORE
","NATURALLY AUSTRALIAN ",4,12.22,NA,"Hams, shoulders and cuts thereof, with bone in","FROZEN PORK COOKED HAM","99.52","87.72","0","Enclosure; ","87.72","KGM","CIF",72230,"21,670.00","14,085.00","0",0,"0",0,0,0,3353,203,12,2024,"December",2,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in","Other products","Other products ","Other Imports","Other products ","KGM",30,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02032900",20329,"AU","AU",0,2,"SSEA","2024 / C / 2276",NA,"IM / 4",4000,0,266664,"129635","DAMING STORE
","NATURALLY AUSTRALIAN ",3,12.22,NA,"Other","FROZEN  PORK  BACON","529.5","500","0","Enclosure; ","500","KGM","CIF",280352,"84,105.00","54,670.00","0",0,"0",0,0,0,1728,203,12,2024,"December",2,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM",30,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02032900",20329,"NZ","DE",0,2,"VSEA","2024 / C / 9555",NA,"IM / 4",4000,0,166070,"430223","DYNAMIC SUPPLY ","DSC NZ 
",3,12.22,NA,"Other","PORK","5,667.19","5,667.19","0","Enclosure; ","5,667.19","KGM","FOB",4824740,"1,447,420.00","940,825.00","0",0,"0",0,0,365199,214,203,12,2024,"December",17,"SEA","I.Live animals: animal products","Food & Live Animals","DE","DE","GERMANY","EUROPE",4,"OTHERS","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM",30,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02032900",20329,"NZ","NZ",0,2,"SSEA","2024 / C / 2418",NA,"IM / 4",4000,0,103862,"103862","LO CHAN MOON
","HENRY CUMINES NZ. LTD.
",28,12.22,NA,"Other","PORK-RIBS/SHOULDER/TENDRLOIN/BONELESS","482","482","0","Enclosure; ","482","KGM","FOB",393033,"117,910.00","76,640.00","0",0,"0",0,2873,22994,1438,203,12,2024,"December",13,"SEA","I.Live animals: animal products","Food & Live Animals","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM",30,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9402",NA,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","GEOFFREY HUGHES ",3,12.35,NA,"Other","CHICKEN CUTS 1KG-2KG","5,003.95","4,452.00","310","Cartons","4,452.00","KGM","CFR",1145402,"171,810.00","210,940.00","89,040.00",0,"0",0,2001,0,845,207,12,2024,"December",13,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"SSEA","2024 / C / 2276",NA,"IM / 4",4000,0,266664,"129635","DAMING STORE
","NATURALLY AUSTRALIAN ",11,12.35,NA,"Other","FROZEN  CHICKEN  PIECES","16,896.60","15,562.00","0","Enclosure; ","15,562.00","KGM","CIF",3081890,"462,285.00","578,310.00","311,240.00",0,"0",0,0,0,351,207,12,2024,"December",2,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9366",NA,"IM / 4",4000,0,233921,"671008","AJZ TRADING
","AZ
",1,12.35,NA,"Other","DRUMSTICKS","12,000.00","12,000.00","800","Cartons","12,000.00","KGM","CIF",1881923,"282,290.00","360,630.00","240,000.00",0,"0",0,0,0,647,207,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"SSEA","2024 / C / 2311",NA,"IM / 4",4000,0,266664,"129635","DAMING STORE
","NATURALLY AUSTRALIAN ",1,12.35,NA,"Other","FROZEN CHICKEN PIECES","7,240.00","6,720.00","520","Cartons","6,720.00","KGM","CIF",1653407,"248,010.00","305,375.00","134,400.00",0,"0",0,0,0,695,207,12,2024,"December",3,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
