HS.Code_6,BEC4,Description
220291,122,Consumption goods
220299,122,Consumption goods
285390,22,intermediate goods
292218,22,intermediate goods
300212,22,intermediate goods
300449,63,Consumption goods
380859,63,Consumption goods
382499,22,intermediate goods
401170,53,intermediate goods
401180,53,intermediate goods
440719,22,intermediate goods
441899,22,intermediate goods
441911,62,Consumption goods
441912,62,Consumption goods
441919,62,Consumption goods
441990,62,Consumption goods
442191,22,intermediate goods
442199,22,intermediate goods
690721,22,intermediate goods
690722,22,intermediate goods
690730,22,intermediate goods
690740,22,intermediate goods
842441,41,capital goods
842482,41,capital goods
843231,41,capital goods
843242,41,capital goods
845640,41,capital goods
852842,41,capital goods
852852,41,capital goods
852862,41,capital goods
853950,41,capital goods
870230,521,capital goods
940153,62,Consumption goods
940690,22,intermediate goods
962000,62,Consumption goods
80521,112,Intermediate goods
10121,41,capital goods
10129,111,Intermediate goods
10130,111,Intermediate goods
10190,111,Intermediate goods
10221,41,capital goods
10229,111,Intermediate goods
10231,41,capital goods
10239,111,Intermediate goods
10290,111,Intermediate goods
10310,41,capital goods
10391,111,Intermediate goods
10392,111,Intermediate goods
10410,111,Intermediate goods
10420,111,Intermediate goods
10511,111,Intermediate goods
10512,111,Intermediate goods
10513,111,Intermediate goods
10514,111,Intermediate goods
10515,111,Intermediate goods
10594,111,Intermediate goods
10599,111,Intermediate goods
10611,111,Intermediate goods
10612,111,Intermediate goods
10613,111,Intermediate goods
10614,111,Intermediate goods
10619,111,Intermediate goods
10620,111,Intermediate goods
10631,111,Intermediate goods
10632,111,Intermediate goods
10633,111,Intermediate goods
10639,111,Intermediate goods
10641,111,Intermediate goods
10649,111,Intermediate goods
10690,111,Intermediate goods
20110,121,Intermediate goods
20120,122,Consumption goods
20130,122,Consumption goods
20210,121,Intermediate goods
20220,122,Consumption goods
20230,122,Consumption goods
20311,121,Intermediate goods
20312,122,Consumption goods
20319,122,Consumption goods
20321,121,Intermediate goods
20322,122,Consumption goods
20329,122,Consumption goods
20410,121,Intermediate goods
20421,121,Intermediate goods
20422,122,Consumption goods
20423,122,Consumption goods
20430,121,Intermediate goods
20441,121,Intermediate goods
20442,122,Consumption goods
20443,122,Consumption goods
20450,122,Consumption goods
20500,121,Intermediate goods
20610,122,Consumption goods
20621,122,Consumption goods
20622,122,Consumption goods
20629,122,Consumption goods
20630,122,Consumption goods
20641,122,Consumption goods
20649,122,Consumption goods
20680,122,Consumption goods
20690,122,Consumption goods
20711,122,Consumption goods
20712,122,Consumption goods
20713,122,Consumption goods
20714,122,Consumption goods
20724,122,Consumption goods
20725,122,Consumption goods
20726,122,Consumption goods
20727,122,Consumption goods
20741,122,Consumption goods
20742,122,Consumption goods
20743,122,Consumption goods
20744,122,Consumption goods
20745,122,Consumption goods
20751,122,Consumption goods
20752,122,Consumption goods
20753,122,Consumption goods
20754,122,Consumption goods
20755,122,Consumption goods
20760,122,Consumption goods
20810,122,Consumption goods
20830,122,Consumption goods
20840,122,Consumption goods
20850,122,Consumption goods
20860,122,Consumption goods
20890,122,Consumption goods
20910,121,Intermediate goods
20990,121,Intermediate goods
21011,122,Consumption goods
21012,122,Consumption goods
21019,122,Consumption goods
21020,122,Consumption goods
21091,122,Consumption goods
21092,122,Consumption goods
21093,122,Consumption goods
21099,122,Consumption goods
30111,63,Consumption goods
30119,63,Consumption goods
30191,112,Intermediate goods
30192,112,Intermediate goods
30193,112,Intermediate goods
30194,112,Intermediate goods
30195,112,Intermediate goods
30199,112,Intermediate goods
30211,112,Intermediate goods
30213,112,Intermediate goods
30214,112,Intermediate goods
30219,112,Intermediate goods
30221,112,Intermediate goods
30222,112,Intermediate goods
30223,112,Intermediate goods
30224,112,Intermediate goods
30229,112,Intermediate goods
30231,112,Intermediate goods
30232,112,Intermediate goods
30233,112,Intermediate goods
30234,112,Intermediate goods
30235,112,Intermediate goods
30236,112,Intermediate goods
30239,112,Intermediate goods
30241,112,Intermediate goods
30242,112,Intermediate goods
30243,112,Intermediate goods
30244,112,Intermediate goods
30245,112,Intermediate goods
30246,112,Intermediate goods
30247,112,Intermediate goods
30251,112,Intermediate goods
30252,112,Intermediate goods
30253,112,Intermediate goods
30254,112,Intermediate goods
30255,112,Intermediate goods
30256,112,Intermediate goods
30259,112,Intermediate goods
30271,112,Intermediate goods
30272,112,Intermediate goods
30273,112,Intermediate goods
30274,112,Intermediate goods
30279,112,Intermediate goods
30281,112,Intermediate goods
30282,112,Intermediate goods
30283,112,Intermediate goods
30284,112,Intermediate goods
30285,112,Intermediate goods
30289,112,Intermediate goods
30290,122,Consumption goods
30311,122,Consumption goods
30312,122,Consumption goods
30313,122,Consumption goods
30314,122,Consumption goods
30319,122,Consumption goods
30323,122,Consumption goods
30324,122,Consumption goods
30325,122,Consumption goods
30326,122,Consumption goods
30329,122,Consumption goods
30331,122,Consumption goods
30332,122,Consumption goods
30333,122,Consumption goods
30334,122,Consumption goods
30339,122,Consumption goods
30341,122,Consumption goods
30342,122,Consumption goods
30343,122,Consumption goods
30344,122,Consumption goods
30345,122,Consumption goods
30346,122,Consumption goods
30349,122,Consumption goods
30351,122,Consumption goods
30353,122,Consumption goods
30354,122,Consumption goods
30355,122,Consumption goods
30356,122,Consumption goods
30357,122,Consumption goods
30363,122,Consumption goods
30364,122,Consumption goods
30365,122,Consumption goods
30366,122,Consumption goods
30367,122,Consumption goods
30368,122,Consumption goods
30369,122,Consumption goods
30381,122,Consumption goods
30382,122,Consumption goods
30383,122,Consumption goods
30384,122,Consumption goods
30389,122,Consumption goods
30390,122,Consumption goods
30431,122,Consumption goods
30432,122,Consumption goods
30433,122,Consumption goods
30439,122,Consumption goods
30441,122,Consumption goods
30442,122,Consumption goods
30443,122,Consumption goods
30444,122,Consumption goods
30445,122,Consumption goods
30446,122,Consumption goods
30449,122,Consumption goods
30451,122,Consumption goods
30452,122,Consumption goods
30453,122,Consumption goods
30454,122,Consumption goods
30455,122,Consumption goods
30459,122,Consumption goods
30461,122,Consumption goods
30462,122,Consumption goods
30463,122,Consumption goods
30469,122,Consumption goods
30471,122,Consumption goods
30472,122,Consumption goods
30473,122,Consumption goods
30474,122,Consumption goods
30475,122,Consumption goods
30479,122,Consumption goods
30481,122,Consumption goods
30482,122,Consumption goods
30483,122,Consumption goods
30484,122,Consumption goods
30485,122,Consumption goods
30486,122,Consumption goods
30487,122,Consumption goods
30489,122,Consumption goods
30491,122,Consumption goods
30492,122,Consumption goods
30493,122,Consumption goods
30494,122,Consumption goods
30495,122,Consumption goods
30499,122,Consumption goods
30510,121,Intermediate goods
30520,122,Consumption goods
30531,122,Consumption goods
30532,122,Consumption goods
30539,122,Consumption goods
30541,122,Consumption goods
30542,122,Consumption goods
30543,122,Consumption goods
30544,122,Consumption goods
30549,122,Consumption goods
30551,112,Intermediate goods
30559,112,Intermediate goods
30561,112,Intermediate goods
30562,112,Intermediate goods
30563,112,Intermediate goods
30564,112,Intermediate goods
30569,112,Intermediate goods
30571,112,Intermediate goods
30572,112,Intermediate goods
30579,112,Intermediate goods
30611,112,Intermediate goods
30612,112,Intermediate goods
30614,112,Intermediate goods
30615,112,Intermediate goods
30616,112,Intermediate goods
30617,112,Intermediate goods
30619,112,Intermediate goods
30621,112,Intermediate goods
30622,112,Intermediate goods
30624,112,Intermediate goods
30625,122,Consumption goods
30626,112,Intermediate goods
30627,112,Intermediate goods
30629,122,Consumption goods
30711,112,Intermediate goods
30719,112,Intermediate goods
30721,112,Intermediate goods
30729,112,Intermediate goods
30731,112,Intermediate goods
30739,112,Intermediate goods
30741,112,Intermediate goods
30749,112,Intermediate goods
30751,112,Intermediate goods
30759,112,Intermediate goods
30760,122,Consumption goods
30771,112,Intermediate goods
30779,112,Intermediate goods
30781,112,Intermediate goods
30789,112,Intermediate goods
30791,112,Intermediate goods
30799,112,Intermediate goods
30811,112,Intermediate goods
30819,112,Intermediate goods
30821,112,Intermediate goods
30829,112,Intermediate goods
30830,112,Intermediate goods
30890,112,Intermediate goods
40110,112,Intermediate goods
40120,112,Intermediate goods
40140,112,Intermediate goods
40150,112,Intermediate goods
40210,121,Intermediate goods
40221,122,Consumption goods
40229,122,Consumption goods
40291,122,Consumption goods
40299,122,Consumption goods
40310,112,Intermediate goods
40390,112,Intermediate goods
40410,121,Intermediate goods
40490,121,Intermediate goods
40510,122,Consumption goods
40520,122,Consumption goods
40590,122,Consumption goods
40610,122,Consumption goods
40620,122,Consumption goods
40630,122,Consumption goods
40640,122,Consumption goods
40690,122,Consumption goods
40711,21,intermediate goods
40719,21,intermediate goods
40721,112,Intermediate goods
40729,112,Intermediate goods
40790,112,Intermediate goods
40811,121,Intermediate goods
40819,121,Intermediate goods
40891,121,Intermediate goods
40899,121,Intermediate goods
40900,112,Intermediate goods
41000,122,Consumption goods
50100,21,intermediate goods
50210,21,intermediate goods
50290,21,intermediate goods
50400,21,intermediate goods
50510,21,intermediate goods
50590,21,intermediate goods
50610,21,intermediate goods
50690,21,intermediate goods
50710,21,intermediate goods
50790,21,intermediate goods
50800,21,intermediate goods
51000,21,intermediate goods
51110,21,intermediate goods
51191,21,intermediate goods
51199,21,intermediate goods
60110,21,intermediate goods
60120,21,intermediate goods
60210,21,intermediate goods
60220,21,intermediate goods
60230,21,intermediate goods
60240,21,intermediate goods
60290,21,intermediate goods
60311,63,Consumption goods
60312,63,Consumption goods
60313,63,Consumption goods
60314,63,Consumption goods
60315,63,Consumption goods
60319,63,Consumption goods
60390,63,Consumption goods
60420,21,intermediate goods
60490,21,intermediate goods
70110,21,intermediate goods
70190,112,Intermediate goods
70200,112,Intermediate goods
70310,112,Intermediate goods
70320,112,Intermediate goods
70390,112,Intermediate goods
70410,112,Intermediate goods
70420,112,Intermediate goods
70490,112,Intermediate goods
70511,112,Intermediate goods
70519,112,Intermediate goods
70521,112,Intermediate goods
70529,112,Intermediate goods
70610,112,Intermediate goods
70690,112,Intermediate goods
70700,112,Intermediate goods
70810,112,Intermediate goods
70820,112,Intermediate goods
70890,112,Intermediate goods
70920,112,Intermediate goods
70930,112,Intermediate goods
70940,112,Intermediate goods
70951,112,Intermediate goods
70959,112,Intermediate goods
70960,112,Intermediate goods
70970,112,Intermediate goods
70991,112,Intermediate goods
70992,112,Intermediate goods
70993,112,Intermediate goods
70999,112,Intermediate goods
71010,112,Intermediate goods
71021,112,Intermediate goods
71022,112,Intermediate goods
71029,112,Intermediate goods
71030,112,Intermediate goods
71040,112,Intermediate goods
71080,112,Intermediate goods
71090,112,Intermediate goods
71120,122,Consumption goods
71140,122,Consumption goods
71151,122,Consumption goods
71159,122,Consumption goods
71190,122,Consumption goods
71220,122,Consumption goods
71231,122,Consumption goods
71232,122,Consumption goods
71233,122,Consumption goods
71239,122,Consumption goods
71290,122,Consumption goods
71310,112,Intermediate goods
71320,112,Intermediate goods
71331,112,Intermediate goods
71332,112,Intermediate goods
71333,112,Intermediate goods
71334,112,Intermediate goods
71335,112,Intermediate goods
71339,112,Intermediate goods
71340,112,Intermediate goods
71350,112,Intermediate goods
71360,112,Intermediate goods
71390,112,Intermediate goods
71410,112,Intermediate goods
71420,112,Intermediate goods
71430,112,Intermediate goods
71440,112,Intermediate goods
71450,112,Intermediate goods
71490,112,Intermediate goods
80111,111,Intermediate goods
80112,111,Intermediate goods
80119,111,Intermediate goods
80121,112,Intermediate goods
80122,112,Intermediate goods
80131,112,Intermediate goods
80132,112,Intermediate goods
80211,112,Intermediate goods
80212,112,Intermediate goods
80221,112,Intermediate goods
80222,112,Intermediate goods
80231,112,Intermediate goods
80232,112,Intermediate goods
80241,112,Intermediate goods
80242,112,Intermediate goods
80251,112,Intermediate goods
80252,112,Intermediate goods
80261,112,Intermediate goods
80262,112,Intermediate goods
80270,112,Intermediate goods
80280,112,Intermediate goods
80290,112,Intermediate goods
80310,112,Intermediate goods
80390,112,Intermediate goods
80410,112,Intermediate goods
80420,112,Intermediate goods
80430,112,Intermediate goods
80440,112,Intermediate goods
80450,112,Intermediate goods
80510,112,Intermediate goods
80520,112,Intermediate goods
80540,112,Intermediate goods
80550,112,Intermediate goods
80590,112,Intermediate goods
80610,112,Intermediate goods
80620,112,Intermediate goods
80711,112,Intermediate goods
80719,112,Intermediate goods
80720,112,Intermediate goods
80810,112,Intermediate goods
80830,112,Intermediate goods
80840,112,Intermediate goods
80910,112,Intermediate goods
80921,112,Intermediate goods
80929,112,Intermediate goods
80930,112,Intermediate goods
80940,112,Intermediate goods
81010,112,Intermediate goods
81020,112,Intermediate goods
81030,112,Intermediate goods
81040,112,Intermediate goods
81050,112,Intermediate goods
81060,112,Intermediate goods
81070,112,Intermediate goods
81090,112,Intermediate goods
81110,112,Intermediate goods
81120,112,Intermediate goods
81190,112,Intermediate goods
81210,111,Intermediate goods
81290,111,Intermediate goods
81310,112,Intermediate goods
81320,112,Intermediate goods
81330,112,Intermediate goods
81340,112,Intermediate goods
81350,112,Intermediate goods
81400,111,Intermediate goods
90111,111,Intermediate goods
90112,111,Intermediate goods
90121,122,Consumption goods
90122,122,Consumption goods
90190,122,Consumption goods
90210,112,Intermediate goods
90220,112,Intermediate goods
90230,112,Intermediate goods
90240,112,Intermediate goods
90300,112,Intermediate goods
90411,112,Intermediate goods
90412,112,Intermediate goods
90421,112,Intermediate goods
90422,112,Intermediate goods
90510,111,Intermediate goods
90520,112,Intermediate goods
90611,112,Intermediate goods
90619,112,Intermediate goods
90620,112,Intermediate goods
90710,112,Intermediate goods
90720,112,Intermediate goods
90811,112,Intermediate goods
90812,112,Intermediate goods
90821,112,Intermediate goods
90822,112,Intermediate goods
90831,112,Intermediate goods
90832,112,Intermediate goods
90921,112,Intermediate goods
90922,112,Intermediate goods
90931,112,Intermediate goods
90932,112,Intermediate goods
90961,112,Intermediate goods
90962,112,Intermediate goods
91011,112,Intermediate goods
91012,112,Intermediate goods
91020,112,Intermediate goods
91030,112,Intermediate goods
91091,112,Intermediate goods
91099,112,Intermediate goods
100111,111,Intermediate goods
100119,111,Intermediate goods
100191,111,Intermediate goods
100199,111,Intermediate goods
100210,111,Intermediate goods
100290,111,Intermediate goods
100310,111,Intermediate goods
100390,111,Intermediate goods
100410,21,intermediate goods
100490,21,intermediate goods
100510,21,intermediate goods
100590,21,intermediate goods
100610,111,Intermediate goods
100620,111,Intermediate goods
100630,122,Consumption goods
100640,122,Consumption goods
100710,21,intermediate goods
100790,111,Intermediate goods
100810,111,Intermediate goods
100821,21,intermediate goods
100829,111,Intermediate goods
100830,111,Intermediate goods
100840,111,Intermediate goods
100850,111,Intermediate goods
100860,111,Intermediate goods
100890,111,Intermediate goods
110100,121,Intermediate goods
110220,121,Intermediate goods
110290,121,Intermediate goods
110311,121,Intermediate goods
110313,121,Intermediate goods
110319,121,Intermediate goods
110320,121,Intermediate goods
110412,122,Consumption goods
110419,122,Consumption goods
110422,122,Consumption goods
110423,122,Consumption goods
110429,122,Consumption goods
110430,122,Consumption goods
110510,121,Intermediate goods
110520,121,Intermediate goods
110610,121,Intermediate goods
110620,121,Intermediate goods
110630,121,Intermediate goods
110710,121,Intermediate goods
110720,121,Intermediate goods
110811,22,intermediate goods
110812,22,intermediate goods
110813,22,intermediate goods
110814,22,intermediate goods
110819,22,intermediate goods
110820,22,intermediate goods
110900,121,Intermediate goods
120110,111,Intermediate goods
120190,111,Intermediate goods
120230,21,intermediate goods
120241,111,Intermediate goods
120242,111,Intermediate goods
120300,111,Intermediate goods
120400,21,intermediate goods
120510,111,Intermediate goods
120590,111,Intermediate goods
120600,111,Intermediate goods
120710,21,intermediate goods
120721,21,intermediate goods
120729,111,Intermediate goods
120730,21,intermediate goods
120740,111,Intermediate goods
120750,111,Intermediate goods
120760,21,intermediate goods
120770,21,intermediate goods
120791,111,Intermediate goods
120799,21,intermediate goods
120810,121,Intermediate goods
120890,121,Intermediate goods
120910,21,intermediate goods
120921,21,intermediate goods
120922,21,intermediate goods
120923,21,intermediate goods
120924,21,intermediate goods
120925,21,intermediate goods
120929,21,intermediate goods
120930,21,intermediate goods
120991,21,intermediate goods
120999,21,intermediate goods
121010,111,Intermediate goods
121020,111,Intermediate goods
121120,21,intermediate goods
121130,21,intermediate goods
121140,21,intermediate goods
121190,21,intermediate goods
121221,111,Intermediate goods
121229,21,intermediate goods
121291,111,Intermediate goods
121292,111,Intermediate goods
121293,111,Intermediate goods
121294,111,Intermediate goods
121299,111,Intermediate goods
121300,21,intermediate goods
121410,21,intermediate goods
121490,21,intermediate goods
130120,21,intermediate goods
130190,21,intermediate goods
130211,21,intermediate goods
130212,21,intermediate goods
130213,21,intermediate goods
130219,21,intermediate goods
130220,21,intermediate goods
130231,22,intermediate goods
130232,22,intermediate goods
130239,22,intermediate goods
140110,21,intermediate goods
140120,21,intermediate goods
140190,21,intermediate goods
140420,21,intermediate goods
140490,21,intermediate goods
150110,22,intermediate goods
150120,22,intermediate goods
150190,22,intermediate goods
150210,22,intermediate goods
150290,22,intermediate goods
150300,22,intermediate goods
150410,22,intermediate goods
150420,121,Intermediate goods
150430,121,Intermediate goods
150500,22,intermediate goods
150600,22,intermediate goods
150710,121,Intermediate goods
150790,122,Consumption goods
150810,121,Intermediate goods
150890,122,Consumption goods
150910,122,Consumption goods
150990,122,Consumption goods
151000,121,Intermediate goods
151110,121,Intermediate goods
151190,121,Intermediate goods
151211,121,Intermediate goods
151219,122,Consumption goods
151221,121,Intermediate goods
151229,121,Intermediate goods
151311,121,Intermediate goods
151319,121,Intermediate goods
151321,121,Intermediate goods
151329,121,Intermediate goods
151411,121,Intermediate goods
151419,122,Consumption goods
151491,121,Intermediate goods
151499,122,Consumption goods
151511,22,intermediate goods
151519,22,intermediate goods
151521,121,Intermediate goods
151529,122,Consumption goods
151530,22,intermediate goods
151550,121,Intermediate goods
151590,22,intermediate goods
151610,121,Intermediate goods
151620,121,Intermediate goods
151710,122,Consumption goods
151790,122,Consumption goods
151800,22,intermediate goods
152000,22,intermediate goods
152110,22,intermediate goods
152190,22,intermediate goods
152200,21,intermediate goods
160100,122,Consumption goods
160210,122,Consumption goods
160220,122,Consumption goods
160231,122,Consumption goods
160232,122,Consumption goods
160239,122,Consumption goods
160241,122,Consumption goods
160242,122,Consumption goods
160249,122,Consumption goods
160250,122,Consumption goods
160290,122,Consumption goods
160300,121,Intermediate goods
160411,122,Consumption goods
160412,122,Consumption goods
160413,122,Consumption goods
160414,122,Consumption goods
160415,122,Consumption goods
160416,122,Consumption goods
160417,122,Consumption goods
160419,122,Consumption goods
160420,122,Consumption goods
160431,122,Consumption goods
160432,122,Consumption goods
160510,122,Consumption goods
160521,122,Consumption goods
160529,122,Consumption goods
160530,122,Consumption goods
160540,122,Consumption goods
160551,122,Consumption goods
160552,122,Consumption goods
160553,122,Consumption goods
160554,122,Consumption goods
160555,122,Consumption goods
160556,122,Consumption goods
160557,122,Consumption goods
160558,122,Consumption goods
160559,122,Consumption goods
160561,122,Consumption goods
160562,122,Consumption goods
160563,122,Consumption goods
160569,122,Consumption goods
170112,121,Intermediate goods
170113,121,Intermediate goods
170114,121,Intermediate goods
170191,121,Intermediate goods
170199,122,Consumption goods
170211,121,Intermediate goods
170219,121,Intermediate goods
170220,122,Consumption goods
170230,121,Intermediate goods
170240,121,Intermediate goods
170250,121,Intermediate goods
170260,121,Intermediate goods
170290,121,Intermediate goods
170310,121,Intermediate goods
170390,121,Intermediate goods
170410,122,Consumption goods
170490,122,Consumption goods
180100,111,Intermediate goods
180200,21,intermediate goods
180310,121,Intermediate goods
180320,121,Intermediate goods
180400,121,Intermediate goods
180500,121,Intermediate goods
180610,122,Consumption goods
180620,121,Intermediate goods
180631,122,Consumption goods
180632,122,Consumption goods
180690,122,Consumption goods
190110,122,Consumption goods
190120,122,Consumption goods
190190,121,Intermediate goods
190211,122,Consumption goods
190219,122,Consumption goods
190220,122,Consumption goods
190230,122,Consumption goods
190240,122,Consumption goods
190300,121,Intermediate goods
190410,122,Consumption goods
190420,122,Consumption goods
190430,122,Consumption goods
190490,122,Consumption goods
190510,122,Consumption goods
190520,122,Consumption goods
190531,122,Consumption goods
190532,122,Consumption goods
190540,122,Consumption goods
190590,122,Consumption goods
200110,122,Consumption goods
200190,122,Consumption goods
200210,122,Consumption goods
200290,122,Consumption goods
200310,122,Consumption goods
200390,122,Consumption goods
200410,122,Consumption goods
200490,122,Consumption goods
200510,122,Consumption goods
200520,122,Consumption goods
200540,122,Consumption goods
200551,122,Consumption goods
200559,122,Consumption goods
200560,122,Consumption goods
200570,122,Consumption goods
200580,122,Consumption goods
200591,122,Consumption goods
200599,122,Consumption goods
200600,122,Consumption goods
200710,122,Consumption goods
200791,122,Consumption goods
200799,122,Consumption goods
200811,122,Consumption goods
200819,122,Consumption goods
200820,122,Consumption goods
200830,122,Consumption goods
200840,122,Consumption goods
200850,122,Consumption goods
200860,122,Consumption goods
200870,122,Consumption goods
200880,122,Consumption goods
200891,122,Consumption goods
200893,122,Consumption goods
200897,122,Consumption goods
200899,122,Consumption goods
200911,122,Consumption goods
200912,122,Consumption goods
200919,122,Consumption goods
200921,122,Consumption goods
200929,122,Consumption goods
200931,122,Consumption goods
200939,122,Consumption goods
200941,122,Consumption goods
200949,122,Consumption goods
200950,122,Consumption goods
200961,122,Consumption goods
200969,122,Consumption goods
200971,122,Consumption goods
200979,122,Consumption goods
200981,122,Consumption goods
200989,122,Consumption goods
200990,122,Consumption goods
210111,122,Consumption goods
210112,122,Consumption goods
210120,122,Consumption goods
210130,122,Consumption goods
210210,121,Intermediate goods
210220,121,Intermediate goods
210230,121,Intermediate goods
210310,122,Consumption goods
210320,122,Consumption goods
210330,122,Consumption goods
210390,122,Consumption goods
210410,122,Consumption goods
210420,122,Consumption goods
210500,122,Consumption goods
210610,122,Consumption goods
210690,122,Consumption goods
220110,122,Consumption goods
220190,122,Consumption goods
220210,122,Consumption goods
220290,122,Consumption goods
220300,122,Consumption goods
220410,122,Consumption goods
220421,122,Consumption goods
220429,122,Consumption goods
220430,121,Intermediate goods
220510,122,Consumption goods
220590,122,Consumption goods
220600,122,Consumption goods
220710,22,intermediate goods
220720,22,intermediate goods
220820,122,Consumption goods
220830,122,Consumption goods
220840,122,Consumption goods
220850,122,Consumption goods
220860,122,Consumption goods
220870,122,Consumption goods
220890,122,Consumption goods
220900,122,Consumption goods
230110,22,intermediate goods
230120,22,intermediate goods
230210,121,Intermediate goods
230230,121,Intermediate goods
230240,121,Intermediate goods
230250,121,Intermediate goods
230310,21,intermediate goods
230320,21,intermediate goods
230330,21,intermediate goods
230400,22,intermediate goods
230500,22,intermediate goods
230610,22,intermediate goods
230620,22,intermediate goods
230630,22,intermediate goods
230641,22,intermediate goods
230649,22,intermediate goods
230650,22,intermediate goods
230660,22,intermediate goods
230690,22,intermediate goods
230700,121,Intermediate goods
230800,21,intermediate goods
230910,63,Consumption goods
230990,22,intermediate goods
240110,21,intermediate goods
240120,21,intermediate goods
240130,21,intermediate goods
240210,63,Consumption goods
240220,63,Consumption goods
240290,63,Consumption goods
240311,63,Consumption goods
240319,63,Consumption goods
240391,63,Consumption goods
240399,22,intermediate goods
250100,21,intermediate goods
250200,21,intermediate goods
250300,21,intermediate goods
250410,21,intermediate goods
250490,21,intermediate goods
250510,21,intermediate goods
250590,21,intermediate goods
250610,21,intermediate goods
250620,21,intermediate goods
250700,21,intermediate goods
250810,21,intermediate goods
250830,21,intermediate goods
250840,21,intermediate goods
250850,21,intermediate goods
250860,21,intermediate goods
250870,21,intermediate goods
250900,21,intermediate goods
251010,21,intermediate goods
251020,21,intermediate goods
251110,21,intermediate goods
251120,21,intermediate goods
251200,21,intermediate goods
251310,21,intermediate goods
251320,21,intermediate goods
251400,21,intermediate goods
251511,21,intermediate goods
251512,21,intermediate goods
251520,21,intermediate goods
251611,21,intermediate goods
251612,21,intermediate goods
251620,21,intermediate goods
251690,21,intermediate goods
251710,21,intermediate goods
251720,21,intermediate goods
251730,21,intermediate goods
251741,21,intermediate goods
251749,21,intermediate goods
251810,21,intermediate goods
251820,21,intermediate goods
251830,21,intermediate goods
251910,21,intermediate goods
251990,21,intermediate goods
252010,21,intermediate goods
252020,22,intermediate goods
252100,21,intermediate goods
252210,22,intermediate goods
252220,22,intermediate goods
252230,22,intermediate goods
252310,22,intermediate goods
252321,22,intermediate goods
252329,22,intermediate goods
252330,22,intermediate goods
252390,22,intermediate goods
252410,21,intermediate goods
252490,21,intermediate goods
252510,21,intermediate goods
252520,21,intermediate goods
252530,21,intermediate goods
252610,21,intermediate goods
252620,21,intermediate goods
252800,21,intermediate goods
252910,21,intermediate goods
252921,21,intermediate goods
252922,21,intermediate goods
252930,21,intermediate goods
253010,21,intermediate goods
253020,21,intermediate goods
253090,21,intermediate goods
260111,21,intermediate goods
260112,21,intermediate goods
260120,21,intermediate goods
260200,21,intermediate goods
260300,21,intermediate goods
260400,21,intermediate goods
260500,21,intermediate goods
260600,21,intermediate goods
260700,21,intermediate goods
260800,21,intermediate goods
260900,21,intermediate goods
261000,21,intermediate goods
261100,21,intermediate goods
