Year,Month,Livestock.Substitution,total
2011,April,Canned Mackerel,1764090
2011,April,Canned Tunas,17936039
2011,April,Chicken,48162190
2011,August,Canned Mackerel,14399688
2011,August,Canned Tunas,6895543
2011,August,Chicken,27055967
2011,December,Canned Mackerel,1632633
2011,December,Canned Tunas,40088743
2011,December,Chicken,58858467
2011,February,Canned Mackerel,5112230
2011,February,Canned Tunas,18188726
2011,February,Chicken,34434792
2011,January,Canned Mackerel,4565006
2011,January,Canned Tunas,28424006
2011,January,Chicken,24192921
2011,July,Canned Mackerel,6765596
2011,July,Canned Tunas,30676608
2011,July,Chicken,57854975
2011,June,Canned Mackerel,9071905
2011,June,Canned Tunas,14121999
2011,June,Chicken,25770273
2011,March,Canned Mackerel,3489636
2011,March,Canned Tunas,22928196
2011,March,Chicken,62676903
2011,May,Canned Mackerel,3066840
2011,May,Canned Tunas,50064138
2011,May,Chicken,44458219
2011,November,Canned Mackerel,9431178
2011,November,Canned Tunas,39748676
2011,November,Chicken,52764219
2011,October,Canned Mackerel,8182553
2011,October,Canned Tunas,21053317
2011,October,Chicken,37707471
2011,September,Canned Mackerel,8140547
2011,September,Canned Tunas,3966187
2011,September,Chicken,18335478
2012,April,Canned Mackerel,3647330
2012,April,Canned Tunas,17377666
2012,April,Chicken,14209301
2012,August,Canned Mackerel,2785866
2012,August,Canned Tunas,12846022
2012,August,Chicken,68324414
2012,December,Canned Mackerel,4871638
2012,December,Canned Tunas,9789359
2012,December,Chicken,37466721
2012,February,Canned Mackerel,8187749
2012,February,Canned Tunas,7825673
2012,February,Chicken,33551718
2012,January,Canned Mackerel,1700080
2012,January,Canned Tunas,8072173
2012,January,Chicken,44036866
2012,July,Canned Mackerel,7098882
2012,July,Canned Tunas,8638276
2012,July,Chicken,45733238
2012,June,Canned Mackerel,4717763
2012,June,Canned Tunas,18737076
2012,June,Chicken,38125720
2012,March,Canned Mackerel,491293
2012,March,Canned Tunas,17908234
2012,March,Chicken,32908076
2012,May,Canned Mackerel,8190431
2012,May,Canned Tunas,10352219
2012,May,Chicken,35656454
2012,November,Canned Mackerel,893779
2012,November,Canned Tunas,42057906
2012,November,Chicken,29151375
2012,October,Canned Mackerel,13101665
2012,October,Canned Tunas,17607318
2012,October,Chicken,56966199
2012,September,Canned Mackerel,12156615
2012,September,Canned Tunas,13017564
2012,September,Chicken,34016259
2013,April,Canned Mackerel,9115769
2013,April,Canned Tunas,26062870
2013,April,Chicken,45937365
2013,August,Canned Mackerel,25656854
2013,August,Canned Tunas,23109537
2013,August,Chicken,39826038
2013,December,Canned Mackerel,28783780
2013,December,Canned Tunas,27225753
2013,December,Chicken,67557968
2013,February,Canned Mackerel,4991313
2013,February,Canned Tunas,20783585
2013,February,Chicken,43681439
2013,January,Canned Mackerel,3515116
2013,January,Canned Tunas,20480712
2013,January,Chicken,32489367
2013,July,Canned Mackerel,6293612
2013,July,Canned Tunas,14311860
2013,July,Chicken,53896414
2013,June,Canned Mackerel,9014620
2013,June,Canned Tunas,20774551
2013,June,Chicken,28441942
2013,March,Canned Mackerel,2119508
2013,March,Canned Tunas,33618715
2013,March,Chicken,27373404
2013,May,Canned Mackerel,5412116
2013,May,Canned Tunas,17839255
2013,May,Chicken,24272279
2013,November,Canned Mackerel,8380637
2013,November,Canned Tunas,30555418
2013,November,Chicken,34203978
2013,October,Canned Mackerel,5812367
2013,October,Canned Tunas,41848314
2013,October,Chicken,22713902
2013,September,Canned Mackerel,2831134
2013,September,Canned Tunas,17409561
2013,September,Chicken,26201132
2014,April,Canned Mackerel,6772779
2014,April,Canned Tunas,12757314
2014,April,Chicken,44151374
2014,August,Canned Mackerel,1040662
2014,August,Canned Tunas,22145429
2014,August,Chicken,47520334
2014,December,Canned Mackerel,7639570
2014,December,Canned Tunas,31960724
2014,December,Chicken,32674487
2014,February,Canned Mackerel,2391989
2014,February,Canned Tunas,16104784
2014,February,Chicken,18428640
2014,January,Canned Mackerel,4113213
2014,January,Canned Tunas,28356024
2014,January,Chicken,30626454
2014,July,Canned Mackerel,16613993
2014,July,Canned Tunas,52832898
2014,July,Chicken,40245296
2014,June,Canned Mackerel,2744965
2014,June,Canned Tunas,34131979
2014,June,Chicken,30363688
2014,March,Canned Mackerel,4766907
2014,March,Canned Tunas,12050242
2014,March,Chicken,28381423
2014,May,Canned Mackerel,20524928
2014,May,Canned Tunas,39200640
2014,May,Chicken,87442035
2014,November,Canned Mackerel,26176029
2014,November,Canned Tunas,35443959
2014,November,Chicken,32404827
2014,October,Canned Mackerel,4998089
2014,October,Canned Tunas,10899068
2014,October,Chicken,35126377
2014,September,Canned Mackerel,16233484
2014,September,Canned Tunas,20700168
2014,September,Chicken,27451628
2015,April,Canned Mackerel,42997126
2015,April,Canned Tunas,27745127
2015,April,Chicken,56154468
2015,April,Chicken Eggs,5171389
2015,August,Canned Mackerel,32294372
2015,August,Canned Tunas,5687285
2015,August,Chicken,47772453
2015,August,Chicken Eggs,6549520
2015,December,Canned Mackerel,22174195
2015,December,Canned Tunas,15861119
2015,December,Chicken,74694237
2015,December,Chicken Eggs,6944239
2015,February,Canned Mackerel,10018521
2015,February,Canned Tunas,25646270
2015,February,Chicken,48619230
2015,January,Canned Mackerel,7837215
2015,January,Canned Tunas,26502565
2015,January,Chicken,25220168
2015,July,Canned Mackerel,12716480
2015,July,Canned Tunas,51911961
2015,July,Chicken,66294488
2015,July,Chicken Eggs,10333516
2015,June,Canned Mackerel,33330920
2015,June,Canned Tunas,31893901
2015,June,Chicken,49431403
2015,June,Chicken Eggs,5088401
2015,March,Canned Mackerel,3388517
2015,March,Canned Tunas,24844050
2015,March,Chicken,28237037
2015,March,Chicken Eggs,668008
2015,May,Canned Mackerel,4780967
2015,May,Canned Tunas,11760603
2015,May,Chicken,73952540
2015,May,Chicken Eggs,9551674
2015,November,Canned Mackerel,3506684
2015,November,Canned Tunas,48664038
2015,November,Chicken,50404604
2015,November,Chicken Eggs,6983397
2015,October,Canned Mackerel,29203899
2015,October,Canned Tunas,16000631
2015,October,Chicken,47265110
2015,October,Chicken Eggs,10728304
2015,September,Canned Mackerel,7753219
2015,September,Canned Tunas,20317643
2015,September,Chicken,35644035
2015,September,Chicken Eggs,8036445
2016,April,Canned Mackerel,22523176
2016,April,Canned Tunas,27171071
2016,April,Chicken,67462596
2016,April,Chicken Eggs,8003789
2016,August,Canned Mackerel,19748270
2016,August,Canned Tunas,15106920
2016,August,Chicken,66042702
2016,August,Chicken Eggs,7133657
2016,December,Canned Mackerel,5223071
2016,December,Canned Tunas,41671056
2016,December,Chicken,42471487
2016,December,Chicken Eggs,3162967
2016,February,Canned Mackerel,9052589
2016,February,Canned Tunas,26424395
2016,February,Chicken,37033922
2016,January,Canned Mackerel,3161838
2016,January,Canned Tunas,22969515
2016,January,Chicken,44443865
2016,January,Chicken Eggs,4602198
2016,July,Canned Mackerel,36682383
