Month,Import.Substitution,Total VT
January,Capsicum,17309
January,Carrots and turnips,1517431
January,Cauliflowers and broccoli,453616
January,Onions and shallots,5455032
January,Oranges,1994199
January,Potatoes,7423653
January,Tomatoes,319451
February,Cabbage lettuce,138708
February,Capsicum,106678
February,Carrots and turnips,1219277
February,Cauliflowers and broccoli,908303
February,Corn,192892
February,Cucumbers and gherkins,85212
February,Onions and shallots,3382873
February,Oranges,62725
February,Potatoes,5304805
February,Tomatoes,725598
March,Cabbage lettuce,323347
March,Capsicum,475144
March,Carrots and turnips,2997596
March,Cauliflowers and broccoli,960478
March,Corn,78810
March,Cucumbers and gherkins,146845
March,Onions and shallots,3314396
March,Oranges,1564822
March,Potatoes,6870466
March,Tomatoes,1029997
April,Cabbage lettuce,14929
April,Capsicum,376824
April,Carrots and turnips,1225208
April,Cauliflowers and broccoli,936049
April,Corn,101081
April,Cucumbers and gherkins,231347
April,Onions and shallots,4780640
April,Oranges,1162855
April,Potatoes,10273648
April,Tomatoes,1470138
May,Cabbage lettuce,27423
May,Capsicum,163629
May,Carrots and turnips,1865923
May,Cauliflowers and broccoli,687012
May,Corn,753260
May,Cucumbers and gherkins,53814
May,Onions and shallots,5630629
May,Oranges,1640712
May,Potatoes,8670868
May,"Pumpkins, squash and gourds",28622
May,Tomatoes,1264143
June,Cabbage lettuce,52634
June,Capsicum,282378
June,Carrots and turnips,2375992
June,Cauliflowers and broccoli,646004
June,Corn,101936
June,Cucumbers and gherkins,101646
June,Onions and shallots,2868815
June,Oranges,854422
June,Potatoes,11128723
June,"Pumpkins, squash and gourds",1284
June,Tomatoes,834517
June,Watermelons,1061
July,Cabbage lettuce,68169
July,Capsicum,371533
July,Carrots and turnips,2436910
July,Cauliflowers and broccoli,741219
July,Corn,35747
July,Cucumbers and gherkins,93869
July,Onions and shallots,5923395
July,Oranges,1659007
July,Potatoes,7063428
July,Tomatoes,1087719
August,Cabbage lettuce,88470
August,Capsicum,321129
August,Carrots and turnips,1398303
August,Cauliflowers and broccoli,513748
August,Corn,113255
August,Cucumbers and gherkins,119290
August,Onions and shallots,4079961
August,Oranges,1424280
August,Potatoes,3757134
August,Tomatoes,131042
September,Cabbage lettuce,40811
September,Capsicum,420216
September,Carrots and turnips,2538064
September,Cauliflowers and broccoli,440023
September,Corn,77142
September,Cucumbers and gherkins,125624
September,Onions and shallots,4164234
September,Oranges,841169
September,Potatoes,6693173
September,Tomatoes,127632
October,Cabbage lettuce,21179
October,Capsicum,329967
October,Carrots and turnips,2102559
October,Cauliflowers and broccoli,464711
October,Cucumbers and gherkins,88585
October,Onions and shallots,7852025
October,Oranges,1155707
October,Potatoes,14722899
October,"Pumpkins, squash and gourds",5910
October,Tomatoes,110792
November,Capsicum,370071
November,Carrots and turnips,1113833
November,Cauliflowers and broccoli,633137
November,Corn,31847
November,Cucumbers and gherkins,57571
November,Onions and shallots,4716251
November,Oranges,805619
November,Potatoes,2090930
November,"Pumpkins, squash and gourds",5685
November,Tomatoes,62979
December,Cabbage lettuce,23491
December,Capsicum,299255
December,Carrots and turnips,2595961
December,Cauliflowers and broccoli,656124
December,Cucumbers and gherkins,56772
December,Onions and shallots,2662648
December,Oranges,903330
December,Potatoes,1528373
December,Tomatoes,447954
