HS.Code_4,Description
0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumptions. "
2603,Copper Ores and Concentrates
2716,Electrical energy. (optional heading)   
2852,"Inorganic or organic compound of mercury, whether or not chemically defined, excluding amalgams"
2853,"Phosphides, whether or not chemically defined, excluding ferrophosphorus; other "
3826,"Biodiesel and mixtures thereof,not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals "
4112,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 41.14. "
4113,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of other animals, without wool or hair on, whether or not split, other than leather of heading 41.14. "
4114,Chamois (including combination chamois) leather; patent leather and patent laminated leather; metallised leather. 
4115,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls; parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour. "
6003,"Knitted or crocheted fabrics of a width not exceeding 30 cm, other than those of heading 60.01 or 60.02. "
6004,"Knitted or crocheted fabrics of a width exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those of heading 60.01. "
6005,"Warp knit fabrics (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04. "
8486,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9 (C) to this Chapter; parts and accessories. "
8487,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this chapter. "
9619,"Sanitary towels (pad) and tampons, napkins, napkn liners for babies and similar article, of any material. "
9620,"Monopods, bipods, tripods and similar articles. "
9802,Medical Supplies 
9803,Commercial Samples 
9804,Aircraft parts with an airworthy certificate  issued by International Civil Aviation Organisation 
9901,"Books, publications, documents, periodicals and magazines or any value imported by parcels post or air freight (with the exception of goods falling within 4911.10.00); "
