HS.Code_2,HS Section
01,I.Live animals: animal products
02,I.Live animals: animal products
03,I.Live animals: animal products
04,I.Live animals: animal products
05,I.Live animals: animal products
06,II.Vegetable products
07,II.Vegetable products
08,II.Vegetable products
09,II.Vegetable products
10,II.Vegetable products
11,II.Vegetable products
12,II.Vegetable products
13,II.Vegetable products
14,II.Vegetable products
15,III.Animal or vegetable oils & fats
16,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
17,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
18,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
19,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
20,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
21,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
22,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
23,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
24,"IV.Prepared foodstuffs, beverages, spirits & tobacco"
25,V.Mineral products
26,V.Mineral products
27,V.Mineral products
28,"VI,Chemicals and allied products"
29,"VI,Chemicals and allied products"
30,"VI,Chemicals and allied products"
31,"VI,Chemicals and allied products"
32,"VI,Chemicals and allied products"
33,"VI,Chemicals and allied products"
34,"VI,Chemicals and allied products"
35,"VI,Chemicals and allied products"
36,"VI,Chemicals and allied products"
37,"VI,Chemicals and allied products"
38,"VI,Chemicals and allied products"
39,"VII.Plastic, rubber & articles thereof"
40,"VII.Plastic, rubber & articles thereof"
41,"VIII. Raw hides, skins, leather articles & travel goods"
42,"VIII. Raw hides, skins, leather articles & travel goods"
43,"VIII. Raw hides, skins, leather articles & travel goods"
44,"IX. Wood, cork & articles thereof & plaiting material"
45,"IX. Wood, cork & articles thereof & plaiting material"
46,"IX. Wood, cork & articles thereof & plaiting material"
47,"X. Wood pulp, paper & paperboard & articles thereof"
48,"X. Wood pulp, paper & paperboard & articles thereof"
49,"X. Wood pulp, paper & paperboard & articles thereof"
50,XI.Textiles & textile articles
51,XI.Textiles & textile articles
52,XI.Textiles & textile articles
53,XI.Textiles & textile articles
54,XI.Textiles & textile articles
55,XI.Textiles & textile articles
56,XI.Textiles & textile articles
57,XI.Textiles & textile articles
58,XI.Textiles & textile articles
59,XI.Textiles & textile articles
60,XI.Textiles & textile articles
61,XI.Textiles & textile articles
62,XI.Textiles & textile articles
63,XI.Textiles & textile articles
64,"XII. Footwear, headgear, umbrellas & parts thereof"
65,"XII. Footwear, headgear, umbrellas & parts thereof"
66,"XII. Footwear, headgear, umbrellas & parts thereof"
67,"XII. Footwear, headgear, umbrellas & parts thereof"
68,"XIII. Articles of stone, plaster, cement, glass & ceremic products"
69,"XIII. Articles of stone, plaster, cement, glass & ceremic products"
70,"XIII. Articles of stone, plaster, cement, glass & ceremic products"
71,"XIV.Pearls, precious & semi-precious stones & metals"
72,XV.Base metals & articles thereof
73,XV.Base metals & articles thereof
74,XV.Base metals & articles thereof
75,XV.Base metals & articles thereof
76,XV.Base metals & articles thereof
77,XV.Base metals & articles thereof
78,XV.Base metals & articles thereof
79,XV.Base metals & articles thereof
80,XV.Base metals & articles thereof
81,XV.Base metals & articles thereof
82,XV.Base metals & articles thereof
83,XV.Base metals & articles thereof
84,XVI. Machinery & mechanical & electrical appliances & parts thereof
85,XVI. Machinery & mechanical & electrical appliances & parts thereof
86,"XVII. Vehicles, aircraft & associated transport equipment"
87,"XVII. Vehicles, aircraft & associated transport equipment"
88,"XVII. Vehicles, aircraft & associated transport equipment"
89,"XVII. Vehicles, aircraft & associated transport equipment"
90,"XVIII. Photographic & optical, medical & surgical goods & clocks/watches & musical instruments"
91,"XVIII. Photographic & optical, medical & surgical goods & clocks/watches & musical instruments"
92,"XVIII. Photographic & optical, medical & surgical goods & clocks/watches & musical instruments"
93,"XIX. Arms and ammunition, parts & accessories thereof"
94,XX. Miscellaneous manufactured articles
95,XX. Miscellaneous manufactured articles
96,XX. Miscellaneous manufactured articles
97,"XXI. Works of art, collectors pieces & antiques"
98,XXII. Others
99,XXII. Others
