Month,EXPORT.COUNTRY,Total VT
January,AUSTRALIA,76137914
January,"CHINA, PEOPLES REPUBLIC OF",7550000
January,FIJI,175220
January,FRANCE,982702
January,HONG KONG,1414020
January,JAPAN,7840360
January,MALAYSIA,35571600
January,NETHERLANDS,1538874
January,NEW CALEDONIA,423232
January,NEW ZEALAND,10593865
January,PHILIPPINES,236132437
January,SOLOMON ISLANDS,17289645
January,UNITED KINGDOM,694080
January,UNITED STATES OF AMERICA,4383595
February,AUSTRALIA,85693264
February,FIJI,10053835
February,HONG KONG,112191466
February,JAPAN,5929740
February,MALAYSIA,17094795
February,NETHERLANDS,170375944
February,NEW CALEDONIA,813450
February,NEW ZEALAND,2348430
February,PAPUA NEW GUINEA,6824079
February,SINGAPORE,47389564
February,SOLOMON ISLANDS,16757027
February,THAILAND,1000
February,UNITED KINGDOM,1527370
February,UNITED STATES OF AMERICA,878043
March,AUSTRALIA,78413322
March,"CHINA, PEOPLES REPUBLIC OF",1639774
March,FIJI,18285712
March,HONG KONG,2287369
March,INDONESIA,124730
March,JAPAN,402815
March,MALAYSIA,6905400
March,NEW CALEDONIA,1304342
March,NEW ZEALAND,1264036
March,PAPUA NEW GUINEA,6842015
March,PHILIPPINES,179290735
March,SOLOMON ISLANDS,289287
March,UNITED KINGDOM,1381080
March,UNITED STATES OF AMERICA,1210983
April,AUSTRALIA,123403516
April,FIJI,930163
April,HONG KONG,1280533
April,JAPAN,336870
April,MALAYSIA,5839540
April,NETHERLANDS,538992
April,NEW CALEDONIA,4694714
April,NEW ZEALAND,74135849
April,SINGAPORE,9063322
April,SOLOMON ISLANDS,21055912
April,UNITED KINGDOM,1572060
April,UNITED STATES OF AMERICA,2322274
May,AUSTRALIA,348554302
May,"CHINA, PEOPLES REPUBLIC OF",5061566
May,FIJI,38143406
May,HONG KONG,5527856
May,JAPAN,7853163
May,"KOREA, REPUBLIC OF",563900
May,MALAYSIA,4313835
May,NETHERLANDS,9.00E+05
May,NEW CALEDONIA,17062852
May,NEW ZEALAND,8779010
May,PHILIPPINES,216277394
May,SOLOMON ISLANDS,26806224
May,THAILAND,9.00E+05
May,UNITED KINGDOM,1015020
May,UNITED STATES OF AMERICA,6578532
June,AUSTRALIA,796533203
June,"CHINA, PEOPLES REPUBLIC OF",8985979
June,FIJI,9445857
June,HONG KONG,1586066
June,JAPAN,9162739
June,"KOREA, REPUBLIC OF",1775381
June,MALAYSIA,13879200
June,NETHERLANDS,3014430
June,NEW CALEDONIA,30742740
June,NEW ZEALAND,8097211
June,PAPUA NEW GUINEA,76992639
June,SOLOMON ISLANDS,500420
June,UNITED KINGDOM,867450
June,UNITED STATES OF AMERICA,12641885
July,AUSTRALIA,267707799
July,"CHINA, PEOPLES REPUBLIC OF",18684493
July,FIJI,13510030
July,FRANCE,69600
July,HONG KONG,3961115
July,JAPAN,8843300
July,MALAYSIA,127532100
July,NETHERLANDS,404425
July,NEW CALEDONIA,44343641
July,NEW ZEALAND,9034196
July,PAPUA NEW GUINEA,426750
July,PHILIPPINES,64598297
July,SOLOMON ISLANDS,7020173
July,UNITED KINGDOM,808850
July,UNITED STATES OF AMERICA,42480583
August,AUSTRALIA,230490791
August,"CHINA, PEOPLES REPUBLIC OF",5294216
August,FIJI,12015749
August,FRANCE,373050
August,HONG KONG,13868479
August,JAPAN,9199598
August,MALAYSIA,20961079
August,NETHERLANDS,1531015
August,NEW CALEDONIA,19610122
August,NEW ZEALAND,9430911
August,PAPUA NEW GUINEA,7500609
August,PHILIPPINES,248305401
August,SOLOMON ISLANDS,7259055
August,THAILAND,344190
August,UNITED KINGDOM,2122505
August,UNITED STATES OF AMERICA,46964748
September,AUSTRALIA,484712081
September,"CHINA, PEOPLES REPUBLIC OF",9494331
September,FIJI,38499686
September,FRANCE,86280
September,HONG KONG,5695333
September,JAPAN,8477031
September,MALAYSIA,28121335
September,NEW CALEDONIA,19302591
September,NEW ZEALAND,2837590
September,PHILIPPINES,127243451
September,SINGAPORE,569350
September,SOLOMON ISLANDS,8314802
September,UNITED KINGDOM,898186
September,UNITED STATES OF AMERICA,13799561
October,AUSTRALIA,396881397
October,"CHINA, PEOPLES REPUBLIC OF",7818154
October,FIJI,20100349
October,FRANCE,66991
October,HONG KONG,3584545
October,JAPAN,16359678
October,MALAYSIA,109445665
October,NETHERLANDS,1446528
October,NEW CALEDONIA,29046411
October,NEW ZEALAND,29391593
October,PAPUA NEW GUINEA,8580
October,PHILIPPINES,136710819
October,SINGAPORE,120848306
October,SOLOMON ISLANDS,21239778
October,UNITED STATES OF AMERICA,17913235
November,AUSTRALIA,235255089
November,"CHINA, PEOPLES REPUBLIC OF",27391392
November,FIJI,25282773
November,FRANCE,190000
November,HONG KONG,26260287
November,JAPAN,1409042
November,MALAYSIA,119727525
November,NETHERLANDS,565350
November,NEW CALEDONIA,55886523
November,NEW ZEALAND,3851872
November,PHILIPPINES,144493911
November,SOLOMON ISLANDS,26400252
November,UNITED KINGDOM,848025
November,UNITED STATES OF AMERICA,36570884
December,AUSTRALIA,269177745
December,"CHINA, PEOPLES REPUBLIC OF",2079400
December,FIJI,21121796
December,HONG KONG,13866230
December,JAPAN,30024405
December,MALAYSIA,90484042
December,NEW CALEDONIA,24274541
December,NEW ZEALAND,4947527
December,PAPUA NEW GUINEA,10000
December,PHILIPPINES,254320
December,SOLOMON ISLANDS,43425912
December,UNITED KINGDOM,517275
December,UNITED STATES OF AMERICA,7619930
