HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
1012100,Pure-bred breeding animals,Pure-bred breeding animals,Other products,Other products ,Other Imports,Other products ,NMB,5
1012900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1013000,Asses,Asses,Other products,Other products ,Other Imports,Other products ,NMB,5
1019000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1022100,Pure bred breeding animals,Pure bred breeding animals,Other products,Other products ,Other Imports,Other products ,NMB,5
1022900,other,other,Other products,Other products ,Other Imports,Other products ,NMB,5
1023100,Pure bred-breeding animals,Pure bred-breeding animals,Other products,Other products ,Other Imports,Other products ,NMB,5
1023900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1029000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1031000,Pure-bred breeding animals,Live pure-bred breeding swine,Other products,Other products ,Other Imports,Other products ,NMB,5
1039100,Weighing less than 50kg,Weighing less than 50kg,Other products,Other products ,Other Imports,Other products ,NMB,5
1039200,Weighing 50kg or more,Weighing 50kg or more,Other products,Other products ,Other Imports,Other products ,NMB,5
1041000,Sheep,Sheep,Other products,Other products ,Other Imports,Other products ,NMB,5
1042000,Goats,Goats,Other products,Other products ,Other Imports,Other products ,NMB,5
1051100,Fowls of the species Gallus domesticus,Fowls of the species Gallus domesticus,Other products,Other products ,Other Imports,Other products ,NMB,0
1051200,Turkeys,Turkeys,Other products,Other products ,Other Imports,Other products ,NMB,0
1051300,Ducks,Ducks,Other products,Other products ,Other Imports,Other products ,NMB,0
1051400,Geese,Geese,Other products,Other products ,Other Imports,Other products ,NMB,0
1051500,Guinea fowls,Guinea fowls,Other products,Other products ,Other Imports,Other products ,NMB,0
1059400,Fowls of the species Gallus domesticus,Fowls of the species Gallus domesticus,Other products,Other products ,Other Imports,Other products ,NMB,5
1059900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1061100,Primates,Primates,Other products,Other products ,Other Imports,Other products ,NMB,5
1061200,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Whles, dlphins & prpises (mmmals of the ordr Cetcea); mntees and dugngs (mammls…",Other products,Other products ,Other Imports,Other products ,NMB,5
1061300,Camels and other camelids (Camelidae),Camels and other camelids (Camelidae),Other products,Other products ,Other Imports,Other products ,NMB,5
1061400,Rabits and hares,Rabits and hares,Other products,Other products ,Other Imports,Other products ,NMB,5
1061900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1062000,Reptiles (including snakes and turtles),Reptiles (including snakes and turtles),Other products,Other products ,Other Imports,Other products ,NMB,5
1063100,Birds of prey,Birds of prey,Other products,Other products ,Other Imports,Other products ,NMB,5
1063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Psittaciformes (including parrots, parakeets, macaws and cockatoos)",Other products,Other products ,Other Imports,Other products ,NMB,5
1063300,Ostriches; emus (Dromaius novaehollandiae),Ostriches; emus (Dromaius novaehollandiae),Other products,Other products ,Other Imports,Other products ,NMB,5
1063900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1064100,Bees,Bees,Other products,Other products ,Other Imports,Other products ,NMB,5
1064900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1069000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
2011000,Carcasses and half-carcasses,Carcasses and half-carcasses,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2012000,Other cuts with bone in,Other cuts with bone in,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2013000,Boneless,Boneless,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2021000,Carcasses and half-carcasses,Carcasses and half-carcasses,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2022000,Other cuts with bone in,Other cuts with bone in,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2023000,Boneless,Boneless,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2031100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2031200,"Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in",Other products,Other products ,Other Imports,Other products ,KGM,30
2031900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2032100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2032200,"Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in",Other products,Other products ,Other Imports,Other products ,KGM,30
2032900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2041000,"Carcasses and half-carcasses of lamb, fresh or chilled","Carcasses and half-carcasses of lamb, fresh or chilled",Other products,Other products ,Other Imports,Other products ,KGM,30
2042100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2042200,Other cuts with bone in,Other cuts with bone in,Other products,Other products ,Other Imports,Other products ,KGM,30
2042300,Boneless,Boneless,Other products,Other products ,Other Imports,Other products ,KGM,30
2043000,"Carcasses and half-carcasses of lamb, frozen","Carcasses and half-carcasses of lamb, frozen",Other products,Other products ,Other Imports,Other products ,KGM,30
2044100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2044200,Other cuts with bone in,Other cuts with bone in,Other products,Other products ,Other Imports,Other products ,KGM,30
2044300,Boneless,Boneless,Other products,Other products ,Other Imports,Other products ,KGM,30
2045000,Meat of goats,Meat of goats,Other products,Other products ,Other Imports,Other products ,KGM,30
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",Other products,Other products ,Other Imports,Other products ,KGM,30
