Month,Export.Type,Total VT
January,Processed,295865968
January,Raw,36543216
February,Processed,69391074
February,Raw,21765023
March,Processed,229623766
March,Raw,6912575
April,Processed,54259451
April,Raw,11523520
May,Processed,374757058
May,Raw,4313835
June,Processed,330986965
June,Raw,32474477
July,Processed,308626040
July,Raw,46270600
August,Processed,371477356
August,Raw,82638430
September,Processed,240870506
September,Raw,209652
October,Processed,407532157
October,Raw,81536715
November,Processed,298468757
November,Raw,98060531
December ,Processed,127623777
December ,Raw,52852600
