Year,Month,Food.sub.category,total
2011,April,Bakery products,45181683
2011,April,Canned Meats,16525655
2011,April,Confectionary,22034752
2011,April,Cordial,4756934
2011,April,Crisps and snacks,11896460
2011,April,Electrolyte drinks,12132053
2011,April,Noodles,16825908
2011,April,Processed Meats,14790292
2011,April,Soft Drinks,12741603
2011,April,Sugar,10318710
2011,August,Bakery products,61244391
2011,August,Canned Meats,25332537
2011,August,Confectionary,27934851
2011,August,Cordial,12052699
2011,August,Crisps and snacks,10108030
2011,August,Electrolyte drinks,21135765
2011,August,Noodles,31377022
2011,August,Processed Meats,24574195
2011,August,Soft Drinks,22302129
2011,August,Sugar,17484177
2011,December,Bakery products,66556642
2011,December,Canned Meats,41544527
2011,December,Confectionary,51855570
2011,December,Cordial,26485328
2011,December,Crisps and snacks,18516268
2011,December,Electrolyte drinks,21111266
2011,December,Noodles,31546100
2011,December,Processed Meats,40612711
2011,December,Soft Drinks,20133845
2011,December,Sugar,18054872
2011,February,Bakery products,24428367
2011,February,Canned Meats,5010160
2011,February,Confectionary,16722664
2011,February,Cordial,10688064
2011,February,Crisps and snacks,11719600
2011,February,Electrolyte drinks,14476510
2011,February,Noodles,14126433
2011,February,Processed Meats,4953389
2011,February,Soft Drinks,13945932
2011,February,Sugar,17826228
2011,January,Bakery products,41360048
2011,January,Canned Meats,34675849
2011,January,Confectionary,11969715
2011,January,Cordial,8648079
2011,January,Crisps and snacks,6338850
2011,January,Electrolyte drinks,25694684
2011,January,Noodles,15517378
2011,January,Processed Meats,31458767
2011,January,Soft Drinks,25696915
2011,January,Sugar,22104421
2011,July,Bakery products,24188885
2011,July,Canned Meats,13622604
2011,July,Confectionary,21482702
2011,July,Cordial,12437214
2011,July,Crisps and snacks,11358900
2011,July,Electrolyte drinks,24185281
2011,July,Noodles,19615315
2011,July,Processed Meats,13370001
2011,July,Soft Drinks,24697603
2011,July,Sugar,15873567
2011,June,Bakery products,70091865
2011,June,Canned Meats,27594053
2011,June,Confectionary,38567000
2011,June,Cordial,9559613
2011,June,Crisps and snacks,18535430
2011,June,Electrolyte drinks,21386587
2011,June,Noodles,25494077
2011,June,Processed Meats,26943526
2011,June,Soft Drinks,22984702
2011,June,Sugar,5674196
2011,March,Bakery products,40721378
2011,March,Canned Meats,22019950
2011,March,Confectionary,28872643
2011,March,Cordial,9039606
2011,March,Crisps and snacks,13945610
2011,March,Electrolyte drinks,5625222
2011,March,Noodles,24855055
2011,March,Processed Meats,21911669
2011,March,Soft Drinks,5676918
2011,March,Sugar,12652650
2011,May,Bakery products,40968625
2011,May,Canned Meats,36979795
2011,May,Confectionary,22315429
2011,May,Cordial,10744168
2011,May,Crisps and snacks,2508877
2011,May,Electrolyte drinks,11061172
2011,May,Noodles,6924294
2011,May,Processed Meats,36697834
2011,May,Soft Drinks,12161907
2011,May,Sugar,21952819
2011,November,Bakery products,52750846
2011,November,Canned Meats,26297065
2011,November,Confectionary,29682960
2011,November,Cordial,11604534
2011,November,Crisps and snacks,13117821
2011,November,Electrolyte drinks,39732246
2011,November,Noodles,25422522
2011,November,Processed Meats,26258929
2011,November,Soft Drinks,39360541
2011,November,Sugar,20026923
2011,October,Bakery products,51974745
2011,October,Canned Meats,17818852
2011,October,Confectionary,18047788
2011,October,Cordial,9714124
2011,October,Crisps and snacks,10901434
2011,October,Electrolyte drinks,9174575
2011,October,Noodles,18584348
2011,October,Processed Meats,17742645
2011,October,Soft Drinks,9289989
2011,October,Sugar,12222787
2011,September,Bakery products,39847881
2011,September,Canned Meats,20378558
2011,September,Confectionary,34156213
2011,September,Cordial,9909603
2011,September,Crisps and snacks,11968508
2011,September,Electrolyte drinks,4051867
2011,September,Noodles,19525098
2011,September,Processed Meats,20256364
2011,September,Soft Drinks,4589625
2011,September,Sugar,23088358
2012,April,Bakery products,25700567
2012,April,Canned Meats,12563006
2012,April,Confectionary,20608262
2012,April,Cordial,5054851
2012,April,Crisps and snacks,4510124
2012,April,Electrolyte drinks,17726285
2012,April,Noodles,9834422
2012,April,Processed Meats,12554202
2012,April,Soft Drinks,17616450
2012,April,Sugar,11177179
2012,August,Bakery products,69934371
2012,August,Canned Meats,43996364
2012,August,Confectionary,36315083
2012,August,Cordial,14979904
2012,August,Crisps and snacks,16718076
2012,August,Electrolyte drinks,13905914
2012,August,Noodles,29384875
2012,August,Processed Meats,43657871
2012,August,Soft Drinks,13927394
2012,August,Sugar,23874547
2012,December,Bakery products,38792486
2012,December,Canned Meats,6360400
2012,December,Confectionary,32738520
2012,December,Cordial,14274556
2012,December,Crisps and snacks,12469009
2012,December,Electrolyte drinks,33186742
2012,December,Noodles,28030498
2012,December,Processed Meats,6279448
2012,December,Soft Drinks,33124888
2012,December,Sugar,15280530
2012,February,Bakery products,39426241
2012,February,Canned Meats,4767484
2012,February,Confectionary,23949379
2012,February,Cordial,6670893
