Year,Month,Alcoholic.Drinks,Articles.Iron.and.Steel,Medicaments,Petroleum.Oils.and.oils.obtained.from.bituminous.minerals,Rice
2019,January,87,63,36,917,108
2019,February,65,101,47,541,51
2019,March,59,79,52,704,57
2019,April,68,95,54,908,34
2019,May,68,121,67,334,64
2019,June,58,59,83,925,98
2019,July,75,85,45,317,74
2019,August,86,104,57,816,183
2019,September,51,220,60,1282,138
2019,October,81,86,40,319,111
2019,November,128,87,63,946,169
2019,December,120,116,73,788,149
2020,January,72,93,37,374,85
2020,February,65,28,118,1101,42
2020,March,93,59,88,337,23
2020,April,57,109,36,1073,46
2020,May,47,86,30,227,51
2020,June,47,81,66,293,146
2020,July,32,125,61,263,115
2020,August,47,103,79,371,167
2020,September,42,68,58,539,124
2020,October,47,69,42,202,131
2020,November,60,94,31,498,106
2020,December,73,,35,190,128
2021,January,34,65,37,247,79
2021,February,37,46,49,269,110
2021,March,35,93,62,292,27
2021,April,27,68,48,17,26
2021,May,35,90,63,589,66
2021,June,52,72,51,139,66
2021,July,31,122,48,543,60
2021,August,38,125,56,25,54
2021,September,25,117,45,38,87
2021,October,35,106,61,451,72
2021,November,77,138,48,162,64
2021,December,66,346,61,736,238
2022,January,28,64,59,9,99
2022,February,20,95,30,519,124
2022,March,37,178,73,37,121
2022,April,36,227,73,680,55
2022,May,35,72,86,33,63
2022,June,35,61,62,"1,324",60
2022,July,58,65,73,51,85
2022,August,25,91,74,923,22
2022,September,73,135,48,407,49
2022,October,0,0,0,0,0
2022,November,0,0,0,0,0
2022,December,0,0,0,0,0
2023,January,118,151,44,"1,088",95
2023,February,68,160,43,688,79
2023,March,95,69,50,623,64
2023,April,77,96,47,325,35
2023,May,77,75,43,358,20
2023,June,88,66,69,5,222
2023,July,120,66,40,995,35
2023,August,104,155,49,916,330
2023,September,81,110,59,45,97
2023,October,90,154,50,866,80
2023,November,61,195,52,64,184
2023,December,184,131,136,"1,083",182
2024,January,41,140,46,"1,257",124
2024,February,81,108,58,60,43
2024,March,74,168,40,40,99
2024,April,82,155,41,"1,094",76
2024,May,68,254,73,687,150
2024,June,40,73,55,617,45
2024,July,109,125,60,748,50
2024,August,114,128,52,65,133
2024,September,86,119,26,759,113
2024,October,87,139,89,10,175
2024,November,57,112,67,727,116
2024,December,97,240,26,517,257
